Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
0,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
1,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
2,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
3,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
4,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
5,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
6,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
7,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
8,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
9,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
10,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
11,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
12,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
13,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
14,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
15,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
16,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
17,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
18,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
19,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
20,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
21,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
22,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
23,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
24,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
25,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
26,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
27,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
28,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
29,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
30,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
31,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
32,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
33,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
34,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
35,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
36,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
37,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
38,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
39,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
40,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
41,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
42,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
43,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
44,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
45,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
46,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
47,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
48,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
49,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
50,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
51,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
52,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
53,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
54,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
55,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
56,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
57,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
58,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
59,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
60,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
61,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
62,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
63,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
64,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
65,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
66,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
67,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
68,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
69,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
70,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
71,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
72,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
73,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
74,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
75,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
76,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
77,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
78,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
79,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
80,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
81,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
82,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
83,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
84,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
85,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
86,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
87,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
88,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
89,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
90,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
91,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
92,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
93,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
94,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
95,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
96,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
97,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
98,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
99,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
100,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
101,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
102,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
103,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
104,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
105,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
106,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
107,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
108,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
109,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
110,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
