Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
0,32.435853782409986,0.0,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
1,73.06094046564533,0.0,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
2,148.6567470220232,140.40419344362212,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
3,240.08368391014494,48.97725655550039,454.0,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
4,243.75920074269263,158.67665303971737,370.00000000000006,128,,,121,518.0,,1,,,sp.D.121,,,,
5,412.41291317870093,0.0,69.5,32,,,32,97.3,,1,,,mg.D.32,,,,
6,556.026958848118,0.0,69.5,32,,,32,97.3,,1,,,mg.D.32,,,,
7,672.9377480858882,70.12319237975714,370.00000000000034,128,,,121,518.0,,1,,,sp.D.121,,,,
8,708.9715937550982,63.464260027311866,69.5,32,,,32,97.3,,1,,,mg.D.32,,,,
9,851.2769304055726,0.0,255.50000000000023,64,,,64,357.7,,1,,,mg.E.64,,,,
10,1004.6544649519036,0.0,49.000000000000114,32,,,32,68.6,,1,,,ep.D.32,,,,
11,1143.425237515585,0.0,49.0,32,,,32,68.6,,1,,,ep.D.32,,,,
12,1196.9516498737096,0.0,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
13,1338.5089066082865,0.0,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
14,1487.5963015673149,0.0,136.0,128,,,128,190.39999999999998,,1,,,mg.E.128,,,,
15,1672.0433291676989,0.0,238.0,128,,,128,333.2,,1,,,lu.D.128,,,,
16,1718.4224285269663,0.0,193.0,64,,,64,270.2,,1,,,cg.D.64,,,,
17,1819.956883698676,0.0,255.5,64,,,64,357.7,,1,,,mg.E.64,,,,
18,1835.7563173027681,74.28701186493072,238.00000000000023,128,,,128,333.2,,1,,,lu.D.128,,,,
19,2016.547685001434,0.0,454.0000000000002,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
20,2037.185669188811,110.85765997888802,358.0,128,,,121,501.2,,1,,,bt.D.121,,,,
21,2066.5601511572854,403.98753384414886,238.0,128,,,128,333.2,,1,,,lu.D.128,,,,
22,2119.7423767360447,386.3009524316544,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
23,2301.806489202612,406.74119579882245,347.0,32,,,32,485.79999999999995,,1,,,cg.D.32,,,,
24,2476.6354870431933,399.4078421245058,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
25,2633.5062424359485,242.5370867317506,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
26,2781.639158391688,357.40417077601114,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
27,2931.783301136176,314.26002803152323,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
28,2999.4885114042463,355.5548177634528,255.5,64,,,64,357.7,,1,,,mg.E.64,,,,
29,3037.5346273560754,317.5087018116237,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
30,3103.140440935111,512.9028882325879,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
31,3214.6308641878054,401.4124649798937,49.0,32,,,32,68.6,,1,,,ep.D.32,,,,
32,3214.7742734355934,450.2690557321057,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
33,3338.7271932914177,542.3161358762814,49.0,32,,,32,68.6,,1,,,ep.D.32,,,,
34,3520.16536314772,409.8779660199789,238.0,128,,,128,333.2,,1,,,lu.D.128,,,,
35,3523.828805273019,462.21452389468004,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
36,3645.9220479798555,522.1212811878436,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
37,3700.8139424196493,467.2293867480498,193.0,64,,,64,270.2,,1,,,cg.D.64,,,,
38,3773.5748418057256,587.4684873619735,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
39,3873.3589970564035,664.6843321112956,454.0,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
40,3988.149369245884,588.8939599218152,358.0,128,,,121,501.2,,1,,,bt.D.121,,,,
41,4079.516088419089,497.52724074861,193.0,64,,,64,270.2,,1,,,cg.D.64,,,,
42,4215.8977928896675,719.1455362780316,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
43,4369.896747569021,622.1465815986785,358.0,128,,,121,501.2,,1,,,bt.D.121,,,,
44,4402.765860531471,902.2774686362281,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
45,4562.573321605356,787.4700075623432,150.0,64,,,64,210.0,,1,,,ft.D.64,,,,
46,4747.503472743889,752.5398564238103,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
47,4862.976969663358,658.0663595043407,454.0,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
48,4944.985413828906,771.0579153387935,136.0,128,,,128,190.39999999999998,,1,,,mg.E.128,,,,
49,5140.890607955005,711.1527212126939,370.0,128,,,121,518.0,,1,,,sp.D.121,,,,
50,5181.643496172302,670.3998329953974,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
51,5324.885164886479,527.1581642812198,263.0,32,,,32,368.2,,1,,,ft.D.32,,,,
52,5457.648333851676,657.3949953160227,358.0,128,,,121,501.2,,1,,,bt.D.121,,,,
53,5547.627592424748,674.4157367429507,358.0,128,,,121,501.2,,1,,,bt.D.121,,,,
54,5577.9087607503325,895.1345684173666,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
55,5585.188305140063,994.8550240276363,216.0,128,,,128,302.4,,1,,,is.E.128,,,,
