Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
0,32.435853782409986,0.0,368.90072118862633,128,,,121,518.0,,1,,,sp.D.121,,,,
1,73.06094046564533,0.0,210.5,128,,,128,302.4,,1,,,is.E.128,,,,
2,148.6567470220232,252.67982794901312,255.49999999999994,32,,,32,368.2,,1,,,ft.D.32,,,,
3,240.08368391014494,161.2528910608914,442.49999999999994,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
4,243.75920074269263,39.8017397229527,399.1252502094594,128,,,121,518.0,,1,,,sp.D.121,,,,
5,412.41291317870093,0.0,62.0,32,,,32,97.3,,1,,,mg.D.32,,,,
6,556.026958848118,0.0,62.0,32,,,32,97.3,,1,,,mg.D.32,,,,
7,672.9377480858882,9.748442589216552,407.4985176636907,128,,,121,518.0,,1,,,sp.D.121,,,,
8,708.9715937550982,0.0,62.0,32,,,32,97.3,,1,,,mg.D.32,,,,
9,851.2769304055726,0.0,225.50000000000023,64,,,64,357.7,,1,,,mg.E.64,,,,
10,1004.6544649519036,0.0,51.000000000000114,32,,,32,68.6,,1,,,ep.D.32,,,,
11,1143.425237515585,0.0,50.0,32,,,32,68.6,,1,,,ep.D.32,,,,
12,1196.9516498737096,0.0,182.75156046964253,128,,,128,302.4,,1,,,is.E.128,,,,
13,1338.5089066082865,0.0,378.27376288314736,128,,,121,518.0,,1,,,sp.D.121,,,,
14,1487.5963015673149,0.0,120.0,128,,,128,190.39999999999998,,1,,,mg.E.128,,,,
15,1672.0433291676989,0.0,259.3476506903057,128,,,128,333.2,,1,,,lu.D.128,,,,
16,1718.4224285269663,0.0,163.0,64,,,64,270.2,,1,,,cg.D.64,,,,
17,1819.956883698676,0.0,205.0,64,,,64,357.7,,1,,,mg.E.64,,,,
18,1835.7563173027681,95.63466255523645,243.53488557610058,128,,,128,333.2,,1,,,lu.D.128,,,,
19,2016.547685001434,0.0,434.9999999999998,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
20,2037.185669188811,377.0773477794678,383.7103811599536,128,,,121,501.2,,1,,,bt.D.121,,,,
21,2066.5601511572854,108.36571427681974,239.3371515341737,128,,,128,333.2,,1,,,lu.D.128,,,,
22,2119.7423767360447,481.93199977093946,370.6970126773381,128,,,121,518.0,,1,,,sp.D.121,,,,
23,2301.806489202612,0.0,299.8678873043723,32,,,32,485.79999999999995,,1,,,cg.D.32,,,,
24,2476.6354870431933,321.3379110850392,372.8660626400033,128,,,121,518.0,,1,,,sp.D.121,,,,
25,2633.5062424359485,1844.9267963251204,250.86557756545517,32,,,32,368.2,,1,,,ft.D.32,,,,
26,2781.639158391688,190.73223079263425,210.49999999999955,128,,,128,302.4,,1,,,is.E.128,,,,
27,2931.783301136176,239.05615963205992,380.5068881796683,128,,,121,518.0,,1,,,sp.D.121,,,,
28,2999.4885114042463,1109.376725914999,204.0,64,,,64,357.7,,1,,,mg.E.64,,,,
29,3037.5346273560754,1440.8984114049936,250.86557756545517,32,,,32,368.2,,1,,,ft.D.32,,,,
30,3103.140440935111,79.73094824921054,380.5068881796683,128,,,121,518.0,,1,,,sp.D.121,,,,
31,3214.6308641878054,1514.6677521387187,51.0,32,,,32,68.6,,1,,,ep.D.32,,,,
