Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
0,49.893019403138524,0.0,411.89046830032885,128,,,121,501.2,,1,,,bt.D.121,,,,
1,69.48463696473878,0.0,204.0,64,,,64,357.7,,1,,,mg.E.64,,,,
2,136.62806695537617,136.85657000936263,112.0,128,,,128,190.39999999999998,,1,,,mg.E.128,,,,
3,162.8261920079762,222.6584449567626,135.0,64,,,64,210.0,,1,,,ft.D.64,,,,
4,196.86523084971117,264.9182568537562,193.75918689850505,128,,,128,302.4,,1,,,is.E.128,,,,
5,320.0519936375846,200.4326433271542,235.68333333333328,128,,,128,333.2,,1,,,lu.D.128,,,,
6,457.97108601528976,197.57158858668265,57.0,32,,,32,97.3,,1,,,mg.D.32,,,,
7,520.2266029966304,192.31607160534202,219.27494086078002,128,,,128,302.4,,1,,,is.E.128,,,,
8,716.6109544111084,39.557015886963654,207.37787779162852,64,,,64,357.7,,1,,,mg.E.64,,,,
9,894.385264993929,37.432350468823415,380.4845036685556,128,,,121,501.2,,1,,,bt.D.121,,,,
10,1012.1691137398799,0.0,443.061015769708,64,,,64,635.5999999999999,,1,,,lu.D.64,,,,
11,1169.9701579781795,0.0,135.0,64,,,64,210.0,,1,,,ft.D.64,,,,
12,1220.8042105301358,84.16594744804365,320.90193272163015,32,,,32,485.79999999999995,,1,,,cg.D.32,,,,
13,1264.227883572123,40.742274406056595,54.38589269227009,32,,,32,97.3,,1,,,mg.D.32,,,,
14,1294.5248032055545,17.777315925753555,242.78424467396667,32,,,32,368.2,,1,,,ft.D.32,,,,
15,1387.7698994902325,0.0,189.0,64,,,64,270.2,,1,,,cg.D.64,,,,
16,1543.9732398421195,32.796659648113064,251.5,128,,,128,333.2,,1,,,lu.D.128,,,,
17,1558.3097898920778,18.46010959815476,302.4471476510066,32,,,32,485.79999999999995,,1,,,cg.D.32,,,,
18,1623.206480693087,0.0,136.0,64,,,64,210.0,,1,,,ft.D.64,,,,
19,1767.156595329851,0.0,139.8544622858626,64,,,64,210.0,,1,,,ft.D.64,,,,
20,1822.388440962371,5.881458527861469,369.803294311449,128,,,121,518.0,,1,,,sp.D.121,,,,
21,1982.3800823953707,0.0,210.5,128,,,128,302.4,,1,,,is.E.128,,,,
22,2181.9082359625013,10.97184643286937,244.25493265698015,128,,,128,333.2,,1,,,lu.D.128,,,,
23,2245.2095685345707,0.0,112.0,128,,,128,190.39999999999998,,1,,,mg.E.128,,,,
24,2276.3069138003657,80.90265473420504,201.87646498097638,128,,,128,302.4,,1,,,is.E.128,,,,
25,2281.944340298797,155.1906747535536,373.73466231490784,128,,,121,518.0,,1,,,sp.D.121,,,,
26,2348.1125281716236,210.97350534392353,246.0,128,,,128,333.2,,1,,,lu.D.128,,,,
27,2510.2168051614753,294.86922835407177,255.5,32,,,32,368.2,,1,,,ft.D.32,,,,
28,2519.3235933023207,285.76244021322645,326.5,32,,,32,485.79999999999995,,1,,,cg.D.32,,,,
29,2587.277705821724,223.59197154553476,397.9327077850512,128,,,121,518.0,,1,,,sp.D.121,,,,
30,2678.0047630330623,132.86491433419633,62.0,32,,,32,97.3,,1,,,mg.D.32,,,,
