Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
0,566129.0,0.0,28826.0,64,,,1,28800.0,,1,,,18180,,,,
1,566290.0,0.0,26171.0,64,,,1,28800.0,,1,,,18184,,,,
2,567314.0,0.0,8071.0,64,,,8,64800.0,,1,,,13592,,,,
3,571164.0,0.0,64832.0,64,,,32,64800.0,,1,,,13602,,,,
4,574294.0,0.0,64384.0,64,,,7,64800.0,,1,,,13607,,,,
5,576100.0,0.0,19000.0,64,,,1,43200.0,,1,,,13610,,,,
6,577685.0,0.0,118560.99999999988,64,,,5,172800.0,,1,,,18261,,,,
7,578846.0,0.0,24861.0,64,,,1,28800.0,,1,,,13613,,,,
8,580157.0,0.0,0.09999999997671694,64,,,38,6900.0,,1,,,18288,,,,
9,581034.0,0.0,10979.0,64,,,1,18000.0,,1,,,13634,,,,
10,581434.0,0.0,16674.0,64,,,11,36000.0,,1,,,18301,,,,
11,582841.0,0.0,8385.0,64,,,32,14400.0,,1,,,13641,,,,
12,583532.0,0.0,16793.0,64,,,11,36000.0,,1,,,18305,,,,
13,584165.0,0.0,3634.0,64,,,24,3600.0,,1,,,13646,,,,
14,584785.0,0.0,1229.0,64,,,2,1200.0,,1,,,13651,,,,
15,584801.0,0.0,2207.0,64,,,16,3600.0,,1,,,234,,,,
16,584826.0,0.0,40.0,64,,,8,1200.0,,1,,,13662,,,,
17,584832.0,0.0,311.0,64,,,8,2400.0,,1,,,13665,,,,
18,584838.0,0.0,1228.0,64,,,8,1200.0,,1,,,13668,,,,
19,584875.0,0.0,47.0,64,,,16,1200.0,,1,,,13671,,,,
20,584919.0,0.0,213.0,64,,,16,1200.0,,1,,,13674,,,,
21,584928.0,0.0,40.0,64,,,16,1200.0,,1,,,13677,,,,
22,585786.0,0.0,51164.0,64,,,1,64800.0,,1,,,13680,,,,
23,586496.0,0.0,1970.0,64,,,2,7200.0,,1,,,18312,,,,
24,588559.0,0.0,58046.0,64,,,4,64800.0,,1,,,13688,,,,
25,588873.0,0.0,14805.0,64,,,11,36000.0,,1,,,18316,,,,
26,589428.0,0.0,28.0,64,,,2,36000.0,,1,,,13691,,,,
27,589449.0,0.0,275.0,64,,,1,2400.0,,1,,,13694,,,,
28,589503.0,0.0,3708.0,64,,,2,36000.0,,1,,,13697,,,,
29,589535.0,0.0,3625.0,64,,,1,36000.0,,1,,,13700,,,,
30,590405.0,0.0,54.0,64,,,32,1200.0,,1,,,13703,,,,
31,590414.0,0.0,45.0,64,,,32,1200.0,,1,,,13706,,,,
32,590419.0,0.0,292.0,64,,,32,1200.0,,1,,,13709,,,,
33,590427.0,0.0,42.0,64,,,64,1200.0,,1,,,13712,,,,
34,590434.0,0.0,155.0,64,,,64,1200.0,,1,,,13715,,,,
35,590439.0,0.0,66.0,64,,,64,1200.0,,1,,,13718,,,,
36,590470.0,0.0,64.0,64,,,1,36000.0,,1,,,18320,,,,
37,590531.0,0.0,34.0,64,,,1,36000.0,,1,,,18324,,,,
38,590978.0,0.0,252.0,64,,,2,900.0,,1,,,13721,,,,
39,591090.0,0.0,0.09999999997671694,64,,,8,36000.0,,1,,,14298,,,,
40,591120.0,0.0,11298.0,64,,,2,50400.0,,1,,,14298,,,,
41,591442.0,0.0,16440.0,64,,,1,28800.0,,1,,,18333,,,,
42,591612.0,0.0,293.0,64,,,2,900.0,,1,,,13724,,,,
43,593508.0,0.0,257.0,64,,,2,900.0,,1,,,13727,,,,
44,595008.0,0.0,216.0,64,,,2,900.0,,1,,,13730,,,,
45,595228.0,0.0,32.0,64,,,2,300.0,,1,,,13733,,,,
46,595239.0,0.0,24866.0,64,,,1,28800.0,,1,,,13736,,,,
47,595276.0,0.0,34.0,64,,,4,300.0,,1,,,13739,,,,
48,595584.0,0.0,26228.0,64,,,1,28800.0,,1,,,13742,,,,
49,595641.0,0.0,213.0,64,,,2,900.0,,1,,,13745,,,,
50,596042.0,0.0,214.0,64,,,2,900.0,,1,,,13748,,,,
51,596561.0,0.0,212.0,64,,,2,900.0,,1,,,13751,,,,
52,597048.0,0.0,276.0,64,,,1,2400.0,,1,,,13754,,,,
53,597139.0,0.0,144.0,64,,,4,900.0,,1,,,13757,,,,
54,597147.0,0.0,106.0,64,,,8,7200.0,,1,,,13760,,,,
55,597497.0,0.0,314.0,64,,,1,900.0,,1,,,13763,,,,
56,597928.0,0.0,925.0,64,,,16,3600.0,,1,,,13766,,,,
57,597955.0,0.0,689.0,64,,,32,1800.0,,1,,,13769,,,,
58,598080.0,0.0,203.0,64,,,8,3600.0,,1,,,13772,,,,
59,598354.0,0.0,274.0,64,,,4,900.0,,1,,,13775,,,,
60,598608.0,0.0,412.0,64,,,2,900.0,,1,,,13778,,,,
61,598823.0,0.0,691.0,64,,,1,900.0,,1,,,13781,,,,
62,599263.0,0.0,1716.0,64,,,8,6000.0,,1,,,13784,,,,
63,600209.0,0.0,16792.0,64,,,11,36000.0,,1,,,13787,,,,
64,601024.0,0.0,0.09999999997671694,64,,,38,6900.0,,1,,,18336,,,,
65,601123.0,0.0,0.09999999997671694,64,,,38,64500.0,,1,,,18340,,,,
66,606843.0,0.0,24257.0,64,,,63,43200.0,,1,,,13790,,,,
67,608347.0,0.0,57648.0,64,,,63,57600.0,,1,,,13793,,,,
68,613890.0,0.0,0.09999999997671694,64,,,64,54000.0,,1,,,13796,,,,
69,613917.0,0.0,95.0,64,,,64,3600.0,,1,,,13799,,,,
70,614987.0,0.0,336.0,64,,,16,1800.0,,1,,,13802,,,,
71,615362.0,0.0,277.0,64,,,1,1800.0,,1,,,13805,,,,
72,617472.0,0.0,257.0,64,,,16,1800.0,,1,,,13808,,,,
73,617477.0,0.0,343.0,64,,,32,1800.0,,1,,,13811,,,,
74,617482.0,0.0,387.0,64,,,64,2700.0,,1,,,13814,,,,
75,617486.0,0.0,523.0,128,,,100,2700.0,,1,,,13817,,,,
76,617729.0,0.0,182.0,64,,,16,1800.0,,1,,,13820,,,,
77,617737.0,0.0,216.0,64,,,32,1800.0,,1,,,13823,,,,
78,617741.0,0.0,0.09999999997671694,64,,,64,2700.0,,1,,,13826,,,,
79,617748.0,0.0,263.0,64,,,64,2700.0,,1,,,13829,,,,
80,617752.0,0.0,334.0,128,,,100,2700.0,,1,,,13832,,,,
81,617914.0,0.0,165.0,64,,,16,1800.0,,1,,,13835,,,,
82,617917.0,0.0,180.0,64,,,32,1800.0,,1,,,13837,,,,
83,617923.0,0.0,199.0,64,,,64,2700.0,,1,,,13840,,,,
84,617928.0,0.0,301.0,128,,,100,2700.0,,1,,,13843,,,,
85,618202.0,0.0,353.0,64,,,16,1800.0,,1,,,13846,,,,
86,618628.0,0.0,174.0,64,,,16,1800.0,,1,,,13849,,,,
87,618949.0,0.0,161.0,64,,,16,1800.0,,1,,,13852,,,,
88,619684.0,0.0,19199.0,64,,,4,64500.0,,1,,,18344,,,,
89,619766.0,0.0,37.0,64,,,8,64800.0,,1,,,18347,,,,
90,619804.0,0.0,24.0,64,,,1,1800.0,,1,,,13855,,,,
91,620527.0,0.0,35969.0,64,,,11,36000.0,,1,,,13858,,,,
92,621578.0,0.0,35968.0,64,,,11,36000.0,,1,,,18350,,,,
93,621582.0,0.0,35969.0,64,,,11,36000.0,,1,,,13861,,,,
94,638224.0,0.0,8027.0,64,,,8,64800.0,,1,,,13592,,,,
95,639157.0,0.0,18855.0,64,,,4,64500.0,,1,,,18353,,,,
96,639295.0,0.0,0.09999999997671694,64,,,4,64500.0,,1,,,18355,,,,
97,639316.0,0.0,58.0,64,,,13,64800.0,,1,,,18358,,,,
98,639459.0,0.0,60.0,64,,,16,64800.0,,1,,,18361,,,,
99,639523.0,0.0,62.0,64,,,19,64800.0,,1,,,18364,,,,
100,639759.0,0.0,61.0,64,,,3,64800.0,,1,,,18366,,,,
101,639907.0,0.0,0.09999999997671694,128,,,110,600.0,,1,,,18369,,,,
102,639994.0,0.0,41.0,64,,,8,64800.0,,1,,,18373,,,,
103,639995.0,0.0,45.0,64,,,8,64800.0,,1,,,18377,,,,
104,644835.0,0.0,179.0,64,,,16,1800.0,,1,,,18381,,,,
105,645249.0,0.0,155.0,64,,,16,1800.0,,1,,,18385,,,,
106,645444.0,0.0,313.0,64,,,16,1800.0,,1,,,18388,,,,
107,645540.0,0.0,35620.99999999988,64,,,1,57600.0,,1,,,13866,,,,
